id,set,title,type,options,answer
1,English,城乡一体化是我国现代化与城市化发展的新阶段。,short,,Urban-rural integration is a new stage in China's development toward modernization and urbanization.
2,English,只有大力推进城乡一体化，我国整个城乡经济才能实现全面、可持续发展。,short,,Only by greatly promoting urban-rural integration can the whole urban and rural economy of our country develop comprehensively and sustainably.
3,English,水墨画是中国传统艺术形式之一，是中国国画的代表。,short,,"Ink wash painting, one of the traditional art forms of China, is representative of traditional Chinese painting."
4,English,水墨画中使用的主要创作工具和材料是毛笔、宣纸和墨水，这与作品的艺术特征密切相关。,short,,"The main tools and materials used in ink wash painting are brushes, rice paper, and ink, which are closely related to the artistic features of the work."
5,English,水墨画在中国绘画史上占有很高的地位，甚至被视为评价东方绘画艺术水平的标准。,short,,"Ink wash painting holds a high status in the history of Chinese painting, and it is even regarded as the standard for evaluating the artistic level of Eastern paintings."
6,English,改革开放以来，中国政府采取了一系列措施改善生态环境，保护生物多样性。,short,,"Since the reform and opening up, the Chinese government has taken a series of measures to improve the ecological environment and protect biodiversity."
7,English,许多重点生态工程已经推进或实施，大量自然保护区、生态示范区和森林公园相继建立。,short,,"Many key ecological projects have been advanced or implemented, and a large number of nature reserves, ecological demonstration zones and forest parks have been successively established."
8,English,我们应该牢固树立和践行绿水青山就是金山银山的理念，站在人与自然和谐共生的高度谋划发展。,short,,"We should uphold and act on the principle that lucid waters and lush mountains are invaluable assets, and remember to maintain the harmony between humanity and nature when planning our development."
9,English,中国载人航天工程始于 1992 年，至今已取得巨大成就。,short,,"China's manned space program, which was initiated in 1992, has made enormous achievements by now."
10,English,中国具备了长期开展在轨科学实验和综合开发利用太空资源的能力。,short,,China has achieved the ability to conduct long-term science experiments in orbit and to develop and utilize space resources comprehensively.
